time,watt_hi.common@irr_1:['MAX_VALUE'],watt_hi.common@irr_2:['MAX_VALUE'],watt_hi.common@irr_3:['MAX_VALUE'],watt.common@irr_dav_1:['MAX_VALUE']
1758866400,21.71707317073171,22.24836601307189,20.59,197.4429032258064
1758866405,21.76585365853659,22.31372549019608,20.64,197.7090322580645
1758866410,21.81463414634146,22.37908496732026,20.69,197.9751612903226
1758866415,21.86341463414634,22.44444444444444,20.74,198.2412903225807
1758866420,21.91219512195122,22.50980392156863,20.79,198.5074193548387
1758866425,21.9609756097561,22.57516339869281,20.84,198.7735483870968
1758866430,22.00816326530612,22.64052287581699,20.89,199.0877777777778
1758866435,22.04897959183674,22.70588235294117,20.94,199.4340740740741
1758866440,22.08979591836735,22.77124183006536,20.99000000000001,199.7803703703703
1758866445,22.13061224489796,22.83660130718954,21.04000000000001,200.1266666666667
1758866450,22.17142857142858,22.90196078431372,21.09000000000001,200.472962962963
1758866455,22.21224489795919,22.96732026143791,21.14000000000001,200.861875
1758866460,22.25306122448981,23.03267973856209,21.19000000000001,201.42125
1758866465,22.29387755102042,23.09803921568627,21.24000000000001,201.980625
1758866470,22.33469387755103,23.16339869281045,21.29000000000001,202.54
1758866475,22.37551020408165,23.22875816993464,21.34000000000001,202.8346428571429
1758866480,22.41632653061226,23.29411764705882,21.39000000000001,203.1292857142857
1758866485,22.45714285714287,23.359477124183,21.44000000000001,203.4239285714286
1758866490,22.49795918367348,23.42483660130718,21.49000000000001,203.7185714285714
1758866495,22.5387755102041,23.49019607843137,21.54000000000001,204.0132142857143
1758866500,22.57959183673471,23.55555555555555,21.59000000000001,204.3680952380952
1758866505,22.62040816326532,23.62091503267973,21.64000000000001,204.8133333333333
1758866510,22.66122448979593,23.68627450980392,21.69,205.2585714285714
1758866515,22.70204081632654,23.7516339869281,21.74000000000001,205.7038095238095
1758866520,22.74285714285715,23.81699346405228,21.79000000000001,206.16
1758866525,22.78367346938777,23.88235294117647,21.84,206.66
1758866530,22.82448979591838,23.94771241830065,21.89,207.16
1758866535,22.86530612244899,24.01156069364162,21.94,207.66
1758866540,22.9061224489796,24.06936416184971,21.99,208.084347826087
1758866545,22.94693877551022,24.12716763005781,22.03333333333333,208.4582608695652
1758866550,22.98775510204083,24.1849710982659,22.075,208.8321739130435
1758866555,23.02857142857144,24.24277456647399,22.11666666666667,209.2060869565217
1758866560,23.06938775510205,24.30057803468208,22.15833333333334,209.58
1758866565,23.11020408163266,24.35838150289018,22.20000000000001,209.9695833333333
1758866570,23.15102040816327,24.41618497109827,22.24166666666667,210.3591666666667
1758866575,23.19183673469389,24.47398843930636,22.28333333333334,210.74875
1758866580,23.2326530612245,24.53179190751445,22.32500000000001,211.1383333333333
1758866585,23.27346938775511,24.58959537572255,22.36666666666668,211.522
1758866590,23.31428571428572,24.64739884393064,22.40833333333335,211.882
1758866595,23.35510204081633,24.70520231213873,22.45000000000001,212.242
1758866600,23.39591836734694,24.76300578034682,22.49166666666668,212.602
1758866605,23.43673469387756,24.82080924855492,22.53333333333335,212.962
1758866610,23.47755102040817,24.87861271676301,22.57500000000002,213.3247619047619
1758866615,23.51836734693878,24.9364161849711,22.61666666666668,213.6985714285714
1758866620,23.55918367346939,24.99421965317919,22.65833333333335,214.0723809523809
1758866625,23.6,25.05202312138729,22.70000000000002,214.4461904761905
1758866630,23.64081632653062,25.10982658959538,22.74166666666668,214.82
1758866635,23.68163265306123,25.16763005780347,22.78333333333335,215.0878571428571
1758866640,23.72244897959184,25.22543352601156,22.82500000000002,215.3557142857143
1758866645,23.76326530612245,25.28323699421966,22.86666666666668,215.6235714285714
1758866650,23.80408163265306,25.34104046242775,22.90833333333335,215.8914285714285
1758866655,23.84489795918368,25.39884393063584,22.95000000000001,216.1592857142857
1758866660,23.88571428571429,25.45664739884393,22.99166666666668,216.4827272727273
1758866665,23.9265306122449,25.51445086705203,23.03333333333335,216.8895454545454
1758866670,23.96734693877551,25.57225433526012,23.07500000000001,217.2963636363636
1758866675,24.00766283524904,25.63005780346821,23.11666666666668,217.7031818181818
1758866680,24.04597701149426,25.6878612716763,23.15833333333335,218.11
1758866685,24.08429118773947,25.7456647398844,23.20000000000001,218.6711111111111
1758866690,24.12260536398468,25.80346820809249,23.24166666666668,219.2322222222222
1758866695,24.16091954022989,25.86127167630058,23.28333333333334,219.7933333333333
1758866700,24.1992337164751,25.91907514450867,23.32500000000001,220.2270588235294
1758866705,24.23754789272031,25.97687861271676,23.36666666666667,220.4697058823529
1758866710,24.27586206896553,26.03174603174603,23.40833333333334,220.7123529411765
1758866715,24.31417624521074,26.08465608465609,23.45000000000001,220.955
1758866720,24.35249042145595,26.13756613756614,23.49166666666667,221.1976470588235
1758866725,24.39080459770116,26.19047619047619,23.53333333333334,221.4402941176471
1758866730,24.42911877394637,26.24338624338625,23.57500000000001,221.6829411764706
1758866735,24.46743295019159,26.2962962962963,23.61666666666667,221.9675
1758866740,24.5057471264368,26.34920634920636,23.65833333333334,222.28
1758866745,24.54406130268201,26.40211640211641,23.7,222.5925
1758866750,24.58237547892722,26.45502645502646,23.74166666666667,222.905
1758866755,24.62068965517243,26.50793650793652,23.78333333333333,223.2175
1758866760,24.65900383141764,26.56084656084657,23.825,223.6466666666667
1758866765,24.69731800766285,26.61375661375662,23.86666666666667,224.105
1758866770,24.73563218390807,26.66666666666668,23.90833333333333,224.5633333333333
1758866775,24.77394636015327,26.71957671957673,23.95,225.0076923076923
1758866780,24.81226053639848,26.77248677248679,23.99166666666667,225.3961538461539
1758866785,24.8505747126437,26.82539682539684,24.03361344537815,225.7846153846154
1758866790,24.88888888888891,26.87830687830689,24.07563025210084,226.1730769230769
1758866795,24.92720306513412,26.93121693121695,24.11764705882353,226.5615384615385
1758866800,24.96551724137932,26.984126984127,24.15966386554622,226.95
1758866805,25.00383141762454,27.03703703703705,24.20168067226891,227.264
1758866810,25.04214559386975,27.0899470899471,24.2436974789916,227.578
1758866815,25.08045977011496,27.14285714285716,24.28571428571428,227.892
1758866820,25.11877394636016,27.19576719576721,24.32773109243697,228.206
1758866825,25.15708812260538,27.24867724867726,24.36974789915966,228.52
1758866830,25.19540229885059,27.30158730158731,24.41176470588235,228.9977777777778
1758866835,25.2337164750958,27.35449735449737,24.45378151260504,229.4755555555556
1758866840,25.27203065134101,27.40740740740742,24.49579831932773,229.9533333333333
1758866845,25.31034482758622,27.46031746031747,24.53781512605042,230.3827272727273
1758866850,25.34865900383143,27.51322751322752,24.57983193277311,230.7395454545455
1758866855,25.38697318007664,27.56613756613757,24.6218487394958,231.0963636363636
1758866860,25.42528735632185,27.61904761904762,24.66386554621849,231.4531818181818
1758866865,25.46360153256706,27.67195767195768,24.70588235294117,231.81
1758866870,25.50191570881227,27.72486772486773,24.74789915966386,232.154
1758866875,25.54022988505748,27.77777777777778,24.78991596638655,232.498
1758866880,25.57854406130269,27.83068783068783,24.83193277310924,232.842
1758866885,25.6168582375479,27.88359788359789,24.87394957983193,233.186
1758866890,25.65517241379311,27.93650793650794,24.91596638655462,233.53
1758866895,25.69348659003832,27.98941798941799,24.95798319327731,233.9466666666667
1758866900,25.73180076628353,28.00687285223368,25.0,234.3633333333333
1758866905,25.77011494252874,28.01546391752577,25.04201680672269,234.78
1758866910,25.80842911877395,28.02405498281787,25.08403361344537,235.18
1758866915,25.84674329501916,28.03264604810997,25.12605042016806,235.555
1758866920,25.88505747126437,28.04123711340207,25.16806722689075,235.93
1758866925,25.92337164750958,28.04982817869416,25.21008403361344,236.305
1758866930,25.96168582375479,28.05841924398626,25.25210084033613,236.68
1758866935,26.0,28.06701030927835,25.29411764705882,237.0645454545455
1758866940,26.03533568904594,28.07560137457045,25.33613445378151,237.4554545454546
1758866945,26.07067137809187,28.08419243986255,25.3781512605042,237.8463636363637
1758866950,26.10600706713781,28.09278350515464,25.42016806722689,238.2372727272727
1758866955,26.14134275618375,28.10137457044674,25.46218487394957,238.6151612903226
1758866960,26.17667844522968,28.10996563573883,25.50420168067226,238.9409677419355
1758866965,26.21201413427562,28.11855670103093,25.54621848739495,239.2667741935484
1758866970,26.24734982332156,28.12714776632303,25.58823529411764,239.5925806451613
1758866975,26.28268551236749,28.13573883161512,25.63025210084033,239.9183870967742
1758866980,26.31802120141343,28.14432989690722,25.67226890756302,240.2441935483871
1758866985,26.35335689045937,28.15292096219932,25.71428571428571,240.57
1758866990,26.3886925795053,28.16151202749141,25.7563025210084,241.0621052631579
1758866995,26.42402826855124,28.17010309278351,25.79831932773109,241.5542105263158
1758867000,26.45936395759718,28.1786941580756,25.84033613445377,242.0463157894737
1758867005,26.49469964664311,28.1872852233677,25.88235294117647,242.5438888888889
1758867010,26.53003533568905,28.1958762886598,25.92436974789916,243.0633333333333
1758867015,26.56537102473499,28.20446735395189,25.96638655462185,243.5827777777778
1758867020,26.60070671378092,28.21305841924399,26.00680272108843,244.1022222222222
1758867025,26.63604240282686,28.22164948453609,26.04081632653061,244.5457142857143
1758867030,26.6713780918728,28.23024054982818,26.07482993197279,244.9385714285714
1758867035,26.70671378091873,28.23883161512028,26.10884353741496,245.3314285714286
1758867040,26.74204946996467,28.24742268041237,26.14285714285714,245.7242857142857
1758867045,26.77738515901061,28.25601374570447,26.17687074829932,246.1422222222222
1758867050,26.81272084805654,28.26460481099657,26.21088435374149,246.5977777777778
1758867055,26.84805653710248,28.27319587628866,26.24489795918367,247.0533333333333
1758867060,26.88339222614842,28.28178694158076,26.27891156462584,247.5088888888889
1758867065,26.91872791519435,28.29037800687286,26.31292517006802,247.9157894736842
1758867070,26.95406360424029,28.29896907216495,26.3469387755102,248.3105263157895
1758867075,26.98939929328623,28.30756013745705,26.38095238095237,248.7052631578947
1758867080,27.02473498233216,28.31615120274914,26.41496598639455,249.1
1758867085,27.0600706713781,28.32474226804124,26.44897959183672,249.4909090909091
1758867090,27.09540636042404,28.33333333333334,26.4829931972789,249.8818181818182
1758867095,27.13074204946997,28.34192439862543,26.51700680272108,250.2727272727273
1758867100,27.16607773851591,28.35051546391753,26.55102040816325,250.6636363636364
1758867105,27.20141342756185,28.35910652920963,26.58503401360543,251.10125
1758867110,27.23674911660778,28.36769759450172,26.61904761904761,251.57
1758867115,27.27208480565372,28.37628865979381,26.65306122448978,252.03875
1758867120,27.30742049469966,28.38487972508591,26.68707482993196,252.4628571428571
1758867125,27.34275618374559,28.39347079037801,26.72108843537413,252.82
1758867130,27.37809187279153,28.40206185567011,26.75510204081631,253.1771428571429
1758867135,27.41342756183747,28.4106529209622,26.78911564625849,253.5342857142857
1758867140,27.4487632508834,28.4192439862543,26.82312925170066,253.9052380952381
1758867145,27.48409893992934,28.4278350515464,26.85714285714284,254.3314285714285
1758867150,27.51943462897528,28.43642611683849,26.89115646258502,254.757619047619
1758867155,27.55477031802121,28.44501718213058,26.92517006802719,255.1838095238095
1758867160,27.59010600706715,28.45360824742268,26.95918367346937,255.61
1758867165,27.62544169611309,28.46219931271478,26.99319727891154,256.0190909090909
1758867170,27.66077738515902,28.47079037800687,27.02721088435372,256.4281818181818
1758867175,27.69611307420496,28.47938144329897,27.0612244897959,256.8372727272728
1758867180,27.7314487632509,28.48797250859107,27.09523809523807,257.2463636363636
1758867185,27.76678445229683,28.49656357388317,27.12925170068025,257.7216666666667
1758867190,27.80212014134277,28.50515463917526,27.16326530612243,258.2411111111111
1758867195,27.8374558303887,28.51374570446735,27.1972789115646,258.7605555555556
1758867200,27.87279151943464,28.52233676975945,27.23129251700678,259.28
1758867205,27.90812720848057,28.53092783505155,27.26530612244895,259.5168421052632
1758867210,27.9434628975265,28.53951890034364,27.29931972789113,259.7536842105263
1758867215,27.97879858657244,28.54810996563574,27.33333333333331,259.9905263157895
1758867220,28.01294498381877,28.55670103092784,27.36734693877549,260.2273684210526
1758867225,28.04530744336569,28.56529209621993,27.40136054421767,260.4642105263158
